CNTRYID,CNT,CNTSCHID,CNTSTUID,CYC,NatCen,Region,STRATUM,SUBNATIO,OECD,ADMINMODE,Option_CPS,Option_FL,Option_UH,Option_Read,Option_Math,LANGTEST_COG,BOOKID,CM033Q01S,CM033Q01T,CM474Q01S,CM474Q01T,CM155Q01S,CM155Q01T,CM155Q04S,CM155Q04T,CM411Q01S,CM411Q01T,CM411Q02S,CM411Q02T,CM803Q01S,CM803Q01T,CM442Q02S,CM442Q02T,CM034Q01S,CM034Q01T,CM305Q01S,CM305Q01T,CM496Q01S,CM496Q01T,CM496Q02S,CM496Q02T,CM423Q01S,CM423Q01T,CM603Q01S,CM603Q01T,CM571Q01S,CM571Q01T,CM564Q01S,CM564Q01T,CM564Q02S,CM564Q02T,total_raw,total_time
158,TAP,15800001,15803034,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,0,129474,1,26510,1,53794,0,60239,1,96998,0,76802,0,57787,0,108445,1,62381,0,31944,1,85544,1,103612,1,17262,0,49983,0,117951,1,47541,1,32158,9,1158425
158,TAP,15800002,15805449,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,38650,1,48465,1,88958,1,62871,1,93912,0,68824,0,51853,0,191102,0,74958,1,133615,1,110002,1,100855,1,15897,1,93254,0,57109,1,44783,0,25021,11,1300129
158,TAP,15800002,15801686,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,0,45637,1,35725,1,69677,1,69792,1,4775,1,4931,0,96466,0,364490,0,99182,1,29103,0,7150,0,14766,1,14927,0,46965,0,11189,0,29130,0,33994,7,977899
158,TAP,15800003,15803033,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,58640,1,29225,1,79235,1,68516,1,99638,1,85283,1,56361,1,200351,1,173988,0,102721,1,72280,1,85359,1,184142,1,85972,1,105064,1,39348,1,12912,16,1539035
158,TAP,15800004,15803905,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,52434,1,34796,1,1801,1,1984,1,105011,1,26034,1,122708,1,134346,1,101985,0,95387,1,74495,1,46321,1,18313,1,71299,1,51756,1,5288,1,171800,16,1115758
158,TAP,15800005,15806669,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,26694,1,31052,1,56182,1,122597,1,137452,1,48546,1,55170,1,164513,1,135737,0,306294,1,87545,1,101282,1,28258,0,31337,1,36964,1,25760,1,75850,15,1471233
158,TAP,15800006,15805547,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,56565,1,35025,1,63422,1,100734,1,202876,1,75927,0,60560,1,184250,1,309562,1,93558,1,118647,1,70190,1,22190,0,168856,1,77447,1,38371,1,54010,15,1732190
158,TAP,15800007,15805113,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,106237,1,31511,1,60928,1,117646,1,127374,1,75618,0,68567,0,265501,0,215037,0,107277,1,53724,1,2621,1,23778,0,45468,1,67263,1,61867,0,84112,11,1514529
158,TAP,15800008,15805620,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,35836,1,33725,0,57441,0,43524,0,128328,0,68561,0,64701,0,187567,1,119725,0,44556,0,135178,1,40862,1,9330,1,99817,1,88254,1,42940,0,149664,8,1350009
158,TAP,15800009,15803628,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,92517,1,36635,1,62936,1,78057,0,141531,1,53014,0,149388,1,178474,1,72155,0,52997,1,78339,1,53244,1,37733,0,62724,0,25547,1,44768,0,39254,11,1259313
158,TAP,15800010,15804296,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,46049,1,30134,1,24670,0,3145,1,59247,0,130572,1,34086,0,165092,1,81805,1,146116,1,65027,1,84616,1,17094,1,104912,0,91488,1,31145,1,3600,13,1118798
158,TAP,15800011,15800068,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,29411,0,18110,0,45291,1,84564,0,43605,1,55676,1,271340,1,165724,0,71262,0,83347,1,82278,1,62860,1,12664,1,81319,0,130709,1,5344,1,30030,11,1273534
158,TAP,15800012,15802553,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,84421,1,92967,1,106728,1,140649,0,159009,0,35224,0,63290,1,222209,1,81286,1,32450,1,82103,1,22940,1,47786,0,222252,0,88359,0,79651,1,32419,11,1593743
158,TAP,15800014,15805683,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,30511,1,25232,1,57931,1,85590,0,334811,1,69009,0,44776,0,129291,0,82796,1,64958,1,54408,1,57777,1,23573,1,94666,1,114088,0,26802,1,28412,12,1324631
158,TAP,15800015,15806511,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,24202,0,80155,0,45866,1,69508,0,107654,0,39577,0,90776,0,248175,1,74446,0,33086,0,98955,1,71299,1,21030,1,112161,0,21663,1,96903,0,21407,7,1256863
158,TAP,15800016,15803548,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,0,40334,0,29894,0,738134,0,9339,0,144933,0,14320,0,73953,0,99382,0,24666,0,14181,0,8051,0,17980,0,24402,0,8357,0,10173,1,69388,0,9392,1,1336879
158,TAP,15800017,15807278,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,32239,1,41004,1,2006,0,2327,1,118367,0,22272,0,52199,1,131723,1,85560,0,116020,1,67517,0,75477,1,11145,0,38613,0,20992,0,34029,0,9663,8,861153
158,TAP,15800018,15801553,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,40050,1,40416,1,37945,1,50505,1,116800,0,71345,1,55362,0,178640,1,60040,1,91017,1,32888,1,22045,1,19555,0,82518,1,76041,1,30456,1,57563,14,1063186
158,TAP,15800020,15800954,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,42868,1,28407,1,3260,1,36956,1,110345,1,42581,1,60113,1,111721,1,116714,0,151863,1,84012,1,52092,1,14406,1,84321,1,52291,1,10397,1,121179,16,1123526
158,TAP,15800021,15802114,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,0,45221,1,49861,1,40998,1,96820,1,109505,1,52750,1,57950,0,174445,0,163517,0,207440,1,115843,1,149624,1,20092,1,61412,0,110588,0,35761,1,29421,11,1521248
158,TAP,15800021,15805087,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,0,41274,1,24256,1,81030,1,40274,0,42931,1,37620,0,85948,1,297183,0,98966,0,42547,0,38450,1,44940,1,13792,1,123565,1,106305,1,5172,1,56232,11,1180485
158,TAP,15800022,15802424,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,25379,0,37689,0,187253,0,55256,0,100416,0,122159,0,58701,0,148428,0,45871,1,67417,1,22399,0,31588,1,23084,0,45498,0,75745,1,84311,0,29456,5,1160650
158,TAP,15800024,15807738,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,24625,1,31472,1,76122,1,67022,1,89711,0,57395,1,125666,0,154081,1,124382,1,57600,1,59316,1,30296,1,39491,0,102563,0,98394,1,133059,1,29407,13,1300602
158,TAP,15800025,15807650,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,20742,1,43587,1,1148,1,1926,1,92196,1,106150,1,83627,1,168424,1,70188,1,180119,1,118665,1,54471,1,13947,1,78117,1,142529,1,22768,1,55396,17,1254000
158,TAP,15800028,15800056,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,18085,0,26962,1,1668,0,74825,1,140741,1,53081,0,137673,0,84446,0,52470,1,35114,0,38632,1,68934,0,13079,0,79157,0,17033,1,83339,1,147236,8,1072475
158,TAP,15800029,15801120,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,20427,1,23659,1,45262,0,50178,1,95915,1,50366,0,84214,1,140327,0,168035,0,45843,1,84095,1,81542,1,12783,1,81243,1,62292,1,30284,0,65074,12,1141539
158,TAP,15800030,15807703,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,14794,1,36181,1,73952,1,72816,1,95764,1,129121,1,68307,1,150155,0,160746,1,83433,1,2328,1,80334,1,22279,0,109859,0,63831,1,69721,1,99241,14,1332862
158,TAP,15800031,15807940,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,0,64489,1,63191,1,35320,1,62219,1,123752,0,110955,1,172404,0,255303,1,210988,0,139660,0,36582,0,36598,1,16054,0,104404,0,308430,1,56756,1,47760,9,1844865
158,TAP,15800032,15804350,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,35384,1,37960,0,38040,1,3841,1,70390,1,32766,1,58642,1,108083,1,115267,1,137960,1,128093,1,53508,1,15889,1,122949,1,99104,1,65798,1,70406,16,1194080
158,TAP,15800033,15804027,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,0,83022,1,30717,0,52907,1,96236,0,98875,0,38489,0,41772,0,394957,0,92457,1,76975,1,54410,1,25455,1,51585,0,102098,0,115453,1,65427,0,46189,7,1467024
158,TAP,15800034,15801361,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,29739,1,28340,1,30510,0,53633,0,66495,1,33411,1,53851,0,82948,0,40977,0,38146,1,28094,1,21662,1,23528,0,70152,1,29341,0,3631,1,15289,10,649747
158,TAP,15800035,15803593,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,20316,1,23390,0,43812,1,61602,1,278096,1,56669,0,86707,1,135629,1,64728,0,75664,0,99220,1,113108,1,46839,1,124824,1,54113,1,69215,0,94256,12,1448188
158,TAP,15800036,15803745,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,38905,0,16924,1,37175,1,25091,0,136874,0,43157,1,60802,1,121455,1,150475,0,76528,1,6954,1,27922,1,12222,1,77334,1,92096,0,40493,1,38304,12,1002711
158,TAP,15800037,15806053,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,51870,1,65289,1,82309,1,2623,1,172339,0,171347,0,85839,0,217859,0,188545,1,105193,0,123375,0,151784,1,17163,1,142395,0,119866,1,48296,1,132246,10,1878338
158,TAP,15800038,15801678,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,0,87314,1,35412,1,137800,0,51034,1,111674,1,41059,0,35764,0,121566,0,107725,0,103357,1,94867,1,33213,1,15595,1,96690,1,102532,1,68310,0,41861,10,1285773
158,TAP,15800039,15802823,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,35341,1,20974,1,42197,1,37696,1,101785,1,45882,1,35883,0,101223,1,70802,1,60534,1,67092,1,23252,1,15880,1,89146,1,63082,1,28800,1,29422,16,868991
158,TAP,15800040,15801845,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,0,34751,1,131181,1,4036,0,115103,1,111166,0,61575,0,80259,0,228978,0,59942,1,122813,0,150587,1,73855,1,18138,1,137618,0,114470,1,4088,0,164165,8,1612725
158,TAP,15800041,15806392,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,52343,1,38695,1,44413,1,61700,1,95504,1,66440,1,88332,1,148370,1,123993,1,79162,1,58974,1,29617,1,10286,1,84608,1,59660,1,41503,1,81022,17,1164622
158,TAP,15800042,15806446,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,29739,1,146502,1,109561,1,50666,1,114318,1,59566,1,125556,1,224730,1,178944,1,119757,1,108461,1,108012,1,19009,0,166096,1,125430,1,5784,1,75172,16,1767303
158,TAP,15800043,15802996,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,36751,1,28623,1,64927,1,45217,0,203461,1,26933,1,46606,1,84061,1,83620,0,27430,1,7332,1,2545,1,13356,0,91526,1,64433,1,26537,1,38396,14,891754
158,TAP,15800044,15805950,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,54268,1,87878,1,40325,1,93036,0,95824,1,48353,0,119044,1,127361,0,112950,0,78463,1,116038,1,43054,1,18373,1,124340,1,252170,0,33358,1,43489,12,1488324
158,TAP,15800044,15802883,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,23335,0,60761,1,43001,0,32282,0,125241,1,18299,0,71737,0,99056,0,160511,0,30090,1,23668,1,3161,1,13694,0,26840,0,19378,1,25340,0,15877,7,792271
158,TAP,15800045,15805716,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,21676,1,27502,1,30531,1,41865,0,89689,1,20894,1,52660,0,116948,0,137010,1,76787,1,75506,1,113509,1,10475,0,120185,1,55073,1,3276,1,113874,13,1107460
158,TAP,15800046,15800752,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,35808,1,45862,1,66974,1,63461,1,167135,0,35408,1,66683,1,145995,1,82751,1,69249,1,29348,1,41183,1,46167,1,82008,0,94029,1,5360,1,107284,15,1184705
158,TAP,15800047,15803296,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,47858,1,36925,1,28207,1,54628,1,121004,1,53179,0,62561,0,157368,1,93473,1,106916,1,19714,1,3388,1,24392,1,122992,1,97348,1,1267,1,27811,15,1059031
