"CNTRYID","CNT","CNTSCHID","CNTSTUID","CYC","NatCen","Region","STRATUM","SUBNATIO","OECD","ADMINMODE","Option_CPS","Option_FL","Option_UH","Option_Read","Option_Math","LANGTEST_COG","BOOKID","CM033Q01S","CM033Q01T","CM474Q01S","CM474Q01T","CM155Q01S","CM155Q01T","CM155Q04S","CM155Q04T","CM411Q01S","CM411Q01T","CM411Q02S","CM411Q02T","CM803Q01S","CM803Q01T","CM442Q02S","CM442Q02T","CM034Q01S","CM034Q01T","CM305Q01S","CM305Q01T","CM496Q01S","CM496Q01T","CM496Q02S","CM496Q02T","CM423Q01S","CM423Q01T","CM603Q01S","CM603Q01T","CM571Q01S","CM571Q01T","CM564Q01S","CM564Q01T","CM564Q02S","CM564Q02T","total_raw","total_time"
36,"AUS",3600001,3605996,"06MS",3600,3600,"AUS0421",360000,1,2,1,1,0,"A","A",313,43,1,26638,0,32298,1,73989,0,80219,1,110991,0,19851,0,66726,1,130699,1,206975,1,57787,0,40703,1,171918,1,26883,0,80387,0,66814,0,202957,0,8741,8,1404576
36,"AUS",3600003,3608282,"06MS",3600,3600,"AUS0633",360000,1,2,1,1,0,"A","A",313,43,0,37254,1,74793,1,144835,0,137923,0,393755,0,42191,0,157031,0,234148,0,115154,1,30294,1,193019,0,37202,1,24561,1,65270,0,41801,0,33116,0,64818,6,1827165
36,"AUS",3600004,3607923,"06MS",3600,3600,"AUS0105",360000,1,2,1,1,0,"A","A",313,43,1,61415,1,50414,0,47870,1,118888,1,106359,0,99102,1,145449,1,138564,0,113679,1,55533,1,112682,1,48863,1,39481,1,182659,1,151538,1,61518,0,57007,13,1591021
36,"AUS",3600006,3607701,"06MS",3600,3600,"AUS0423",360000,1,2,1,1,0,"A","A",313,43,1,30538,0,19252,1,96591,1,61676,1,120866,1,25632,1,68354,1,152486,1,83705,1,75720,1,69435,1,47757,1,16163,1,113467,1,78074,1,85732,1,70157,16,1215605
36,"AUS",3600012,3607935,"06MS",3600,3600,"AUS0529",360000,1,2,1,1,0,"A","A",313,43,0,40312,0,68009,1,75429,0,124045,1,106898,1,53938,0,126159,0,180357,0,110612,0,93549,1,101459,1,67572,1,25928,0,127366,0,77306,0,70751,1,45763,7,1495453
36,"AUS",3600014,3619512,"06MS",3600,3600,"AUS0209",360000,1,2,1,1,0,"A","A",313,43,0,47864,0,192467,1,74438,0,77151,0,202293,1,56651,0,167925,0,145406,0,217031,0,76959,1,169378,1,47489,0,67927,0,63898,0,63120,0,61851,0,247338,4,1979186
36,"AUS",3600018,3604783,"06MS",3600,3600,"AUS0315",360000,1,2,1,1,0,"A","A",313,43,1,80499,1,958359,0,65779,1,99102,1,99112,1,57642,0,150334,0,184025,1,142480,1,123002,1,121239,0,71003,1,53603,1,158552,1,98301,1,75172,1,67052,13,2605256
36,"AUS",3600022,3609956,"06MS",3600,3600,"AUS0207",360000,1,2,1,1,0,"A","A",313,43,1,29379,1,26799,1,54745,1,59218,0,86704,1,32076,0,138107,0,148098,0,88902,0,63374,1,107575,0,76067,1,25523,0,121263,0,108259,0,48121,0,166535,7,1380745
36,"AUS",3600026,3600439,"06MS",3600,3600,"AUS0421",360000,1,2,1,1,0,"A","A",313,43,1,54620,1,57014,1,112989,1,63531,0,97993,0,45161,1,82442,0,145592,0,88841,0,72208,0,46290,1,75804,1,40903,0,101240,1,98816,1,72264,0,135654,9,1391362
36,"AUS",3600027,3615181,"06MS",3600,3600,"AUS0317",360000,1,2,1,1,0,"A","A",313,43,1,33048,1,31535,1,80175,0,50943,0,251696,0,38041,0,57759,0,187718,0,78000,0,61184,0,81984,0,48092,1,33882,0,141740,0,60372,1,39709,0,21023,5,1296901
36,"AUS",3600028,3602416,"06MS",3600,3600,"AUS0419",360000,1,2,1,1,0,"A","A",313,43,1,45372,1,44780,1,41145,1,78909,1,71795,1,62505,1,49884,1,143948,1,120102,1,108035,1,52559,1,41404,1,62043,1,126969,1,75225,1,55857,1,60524,17,1241056
36,"AUS",3600029,3620700,"06MS",3600,3600,"AUS0529",360000,1,2,1,1,0,"A","A",313,43,1,31879,1,33016,1,42665,1,55275,1,119329,1,38515,0,98920,0,168857,1,196965,0,97284,0,133320,1,108371,1,29813,0,216163,1,88198,1,33197,0,104363,11,1596130
36,"AUS",3600030,3612645,"06MS",3600,3600,"AUS0419",360000,1,2,1,1,0,"A","A",313,43,1,49499,1,41544,0,34210,1,93386,1,129992,1,90333,0,70090,0,143837,0,128214,1,129062,0,112104,1,82366,1,25991,0,125236,0,116173,1,62800,0,77669,9,1512506
